|R1269 (VR00054) Berichtarchivering persoonsreferentie ingaand bericht
|Aanname: Berichtarchivering wordt vastgelegd van een ingaand bericht
|Object|Kenmerk|R 1269 _l01|R 1269 _l0 2|R1269 _L0 3|R1269 _L0 4
|Bericht /persoon|Persoon|= bekend|= bekend|= bekend|= bekend
|||1 Persoon|1 Persoon|1 Persoon|1 Persoon
||Resultaat|Voorkomen persoon vastgelegd in bericht: Bevraging Persoon Details (zowel t.b.v. bijhouding als t.b.v. levering) > Opnemen van de persoon die bevraagd wordt|Voorkomen persoon vastgelegd in bericht: Bevraging Kandidaat Vader > Opnemen van de persoon wiens BSN in deze vraag wordt gebruikt|Voorkomen persoon vastgelegd in bericht: Bevraging Geef Medebewoners > Opnemen van de persoon waarvan de medebewoners worden opgevraagd|Voorkomen persoon vastgelegd in bericht: Synchroniseer Persoon > Opnemen van de persoon waarvoor het synchronisatie verzoek is
|Object|Kenmerk|R 1269 _l05|R1269 _L06|R126 9 _L07|R1269 _L08
|Bericht /persoon|Persoon|= bekend|= bekend|= bekend|= bekend
|||1 Persoon|1 Persoon|1 Persoon|1 Persoon
||Resultaat|Voorkomen persoon vastgelegd in bericht: Synchronisatie Stamgegeven > Niemand opnemen|Voorkomen persoon vastgelegd in bericht: Registratie/Onderhoud Afnemerindicatie > Opnemen van de persoon waarop een afnemerindicatie wordt geplaatst of verwijderd|Voorkomen persoon vastgelegd in bericht: Bijhouding (alle huidige handelingen/berichten) > Opnemen van de personen die direct in het bericht zijn opgenomen, dus het gaat om een Persoon als rootobject, die persoon opnemen (mits reeds bekend in de BRP)|Voorkomen persoon vastgelegd in bericht: Bijhouding (alle huidige handelingen/berichten) > Opnemen van de personen die direct in het bericht zijn opgenomen, dus het gaat om een Relatie als rootobject dan alle personen die een betrokkenheid hebben met die relatie.
|Object|Kenmerk|R 1269 _l09|R1269 _L10|R1269 _L11|R1269 _L12
|Bericht /persoon|Persoon|= bekend|= bekend|<> bekend|<> bekend
|||1 Persoon|1 Persoon|1 Persoon|Meerdere personen
||Resultaat|Voorkomen persoon vastgelegd in bericht: Zoek Persoon > Niemand opnemen|Voorkomen persoon vastgelegd in bericht: Zoek Persoon op Adres > Niemand opnemen|Voorkomen persoon niet vastgelegd in bericht Registratie/Onderhoud Afnemerindicatie > Opnemen van de persoon waarop een afnemerindicatie wordt geplaatst of verwijderd|Voorkomen persoon vastgelegd in bericht: Bevraging Geef Medebewoners > Opnemen van de persoon waarvan de medebewoners worden opgevraagd
