|R1973 (VR00079) Een mutatiebericht bevat slechts groepen die in de administratieve handeling zijn geraakt , gemarkeerd zijn als 'in onderzoek' of een identificerende groep zijn
|Aanname: 
|Object|Kenmerk|R1973_01|R1973_02|R1973_03|R1973_04
|Groep Gewijzigd In Ad.Han.|ActieInhoud -> ad/hand.||||Al afgedekt in R1318, R1320 en R1550
||Aanpassings geldigheid = Leeg||||Al afgedekt in R1318, R1320 en R1550
||Aanpassings geldigheid -> ad/hand||||Al afgedekt in R1318, R1320 en R1550
||Actieverval* -> ad/hand||||Al afgedekt in R1318, R1320 en R1550
|Groep Identificerend|Identificeren Object onder Hoofdpersoon|x|||
||Identificeren Object onder Gerelateerd Persoon||x||
|In onderzoek|In onderzoek|||Kan nog niet|
|Pad 1|objecttype gewijzigde groepen -objecttype  dat groepen identificeert.||x||
|Pad 2|rootobject in het bericht (de hoofdpersoon) en objecttype gewijzigde groepen||x||
|Resultaat||1|2|3|4
