NAAM                              AFKORTING  SOORT  VOLGNUMMER
================================= ========== ====== ==========
aanduiding                        aand       *               1 
aaneensluitend                    aaneensl   *               2 
aangever                          aang       *               3 
aanleiding                        aanl       *               4 
aanpassing                        aanp       *               5 
aanschrijven                      aanschr    *               6 
aanschrijving                     aanschr    *               7 
aanvang                           aanv       *               8 
aanwezig                          aanw       *               9 
adellijke titels en/of predicaten ATP        *              10 
administratienummer               ANr        *              11 
adreshouding                      adresh     *              12 
autoriteit                        aut        *              13 
beeindiging                       beeind     *              14 
belemmering                       belem      *              15 
bericht                           ber        *              16 
beschouwing                       besch      *              17 
betrokkenheid                     betr       *              18 
bijhoudings                       bijh       *              19 
brp actie                         actie      *              20 
buitenlands                       BL         *              22 
buitenlandse                      BL         *              21 
burgerservicenummer               BSN        *              23 
component                         comp       *              24 
datum                             dat        *              26 
datum/tijd                        ts         *              25 
deelname                          deeln      *              27 
document                          doc        *              28 
echtgenoot/geregistreerd partner  EGP        *              29 
geconverteerd                     geconv     *              34 
geldigheid                        gel        *              36 
gemeente                          gem        *              35 
geslachtsnaam                     geslnaam   *              37 
handeling                         hnd        *              38 
identificatie                     ident      *              31 
identificatienummers              IDs        *              30 
inhoud                            inh        *              32 
inschrijving                      inschr     *              33 
kiesrecht                         kiesr      *              39 
levering                          lev        *              40 
locatie                           loc        *              41 
moment                            mom        *              42 
naam openbare ruimte              NOR        *              43 
namenreeks                        Nreeks     *              44 
nationaliteit                     nation     *              45 
nederlander                       NL         *              46 
nederlands                        NL         *              47 
nummer                            nr         *              48 
omschrijving                      oms        *              49 
ontbreken                         ontbr      *              50 
ontvangst                         ontv       *              51 
onverwerkt                        onverw     *              52 
persoon                           pers       *              54 
persoonskaart                     PK         *              53 
reden                             rdn        *              55 
registratie                       reg        *              57 
reisdocument                      reisdoc    *              56 
soort                             srt        *              58 
uitsluiting                       uitsl      *              59 
verblijfsrecht                    verblijfsr *              63 
verkrijging                       verk       *              60 
verstrekking                      verstr     *              65 
verstrekkings                     verstr     *              64 
voorzien                          voorz      *              62 
wijze van gebruik                 gebr       *              61 
wijziging                         wijz       *              66 
woonplaats                        wpl        *              67 
